poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,1,1
2,community_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
3,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
4,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
7,garages,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,1,1
9,roof;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
10,toilets,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
11,ramada,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,apartments;bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
14,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
16,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
17,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
18,apartments;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
20,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
21,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,college,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,1,1
24,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
25,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
26,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,1
27,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
28,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
29,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
30,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,1
31,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
32,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
33,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
34,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
35,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,1,1
36,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
37,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
38,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
39,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,1,1
40,yes;roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
41,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,1
